tokenid,collection_mint_number,asset_token_id,asset_index,token_index
s3viq-2ykor-uwiaa-aaaaa-cuarg-yaqca-acx6w-q,15,35jvi-vakor-uwiaa-aaaaa-c4chg-yaqca-aaaah-q,15,180141
oefrm-uikor-uwiaa-aaaaa-cuarg-yaqca-acyo2-a,1046,35kdt-eakor-uwiaa-aaaaa-c4chg-yaqca-aaaql-a,1046,181172
mnkzz-jakor-uwiaa-aaaaa-cuarg-yaqca-acyxm-a,1594,365dp-4ikor-uwiaa-aaaaa-c4chg-yaqca-aaay5-a,1594,181720
mnjpc-yakor-uwiaa-aaaaa-cuarg-yaqca-acyha-q,547,366vu-nikor-uwiaa-aaaaa-c4chg-yaqca-aaair-q,547,180673
j5swd-cqkor-uwiaa-aaaaa-cuarg-yaqca-acynj-q,949,37ff2-bikor-uwiaa-aaaaa-c4chg-yaqca-aaao2-q,949,181075
oztne-sakor-uwiaa-aaaaa-cuarg-yaqca-acyoy-a,1042,3a473-cikor-uwiaa-aaaaa-c4chg-yaqca-aaaqj-a,1042,181168
sgduy-4qkor-uwiaa-aaaaa-cuarg-yaqca-acx6u-q,11,3a7ja-tikor-uwiaa-aaaaa-c4chg-yaqca-aaaaf-q,11,180137
hy5ou-yqkor-uwiaa-aaaaa-cuarg-yaqca-acye5-q,413,3bezo-7ikor-uwiaa-aaaaa-c4chg-yaqca-aaago-q,413,180539
hy6yp-jqkor-uwiaa-aaaaa-cuarg-yaqca-acyur-a,1412,3bhpv-oikor-uwiaa-aaaaa-c4chg-yaqca-aaawc-a,1412,181538
lnsd3-rikor-uwiaa-aaaaa-cuarg-yaqca-acynh-q,945,3ctzs-hakor-uwiaa-aaaaa-c4chg-yaqca-aaaoy-q,945,181071
mq7tk-6ikor-uwiaa-aaaaa-cuarg-yaqca-acyhc-q,551,3dij4-lakor-uwiaa-aaaaa-c4chg-yaqca-aaait-q,551,180677
mq4fr-pikor-uwiaa-aaaaa-cuarg-yaqca-acyxo-a,1598,3dl7h-2akor-uwiaa-aaaaa-c4chg-yaqca-aaay7-a,1598,181724
unyzj-hakor-uwiaa-aaaaa-cuarg-yaqca-acyic-a,614,3ef66-kqkor-uwiaa-aaaaa-c4chg-yaqca-aaajt-a,614,180740
un3ps-wakor-uwiaa-aaaaa-cuarg-yaqca-acyyo-q,1663,3egif-3qkor-uwiaa-aaaaa-c4chg-yaqca-aaaz7-q,1663,181789
w4d47-yykor-uwiaa-aaaaa-cuarg-yaqca-acyoh-a,1008,3f6oq-gqkor-uwiaa-aaaaa-c4chg-yaqca-aaapy-a,1008,181134
h7qzw-zakor-uwiaa-aaaaa-cuarg-yaqca-acyf5-a,476,3gjom-6ykor-uwiaa-aaaaa-c4chg-yaqca-aaaho-a,476,180602
h7tpn-iakor-uwiaa-aaaaa-cuarg-yaqca-acyvr-q,1477,3gkyx-pykor-uwiaa-aaaaa-c4chg-yaqca-aaaxc-q,1477,181603
o662g-tqkor-uwiaa-aaaaa-cuarg-yaqca-acypy-q,1107,3hriz-dykor-uwiaa-aaaaa-c4chg-yaqca-aaarj-q,1107,181233
sbod2-5akor-uwiaa-aaaaa-cuarg-yaqca-acx7u-a,74,3hs6c-sykor-uwiaa-aaaaa-c4chg-yaqca-aaabf-a,74,180200
eitod-5akor-uwiaa-aaaaa-cuarg-yaqca-acyts-q,1351,3irwt-mykor-uwiaa-aaaaa-c4chg-yaqca-aaavd-q,1351,181477
eiqyy-makor-uwiaa-aaaaa-cuarg-yaqca-acyd6-a,350,3isai-5ykor-uwiaa-aaaaa-c4chg-yaqca-aaafp-a,350,180476
gl57m-2qkor-uwiaa-aaaaa-cuarg-yaqca-acybt-a,200,3jjqg-rykor-uwiaa-aaaaa-c4chg-yaqca-aaade-a,200,180326
f5fyx-sqkor-uwiaa-aaaaa-cuarg-yaqca-acyrx-q,1233,3jkg5-aykor-uwiaa-aaaaa-c4chg-yaqca-aaati-q,1233,181359
u6vlf-cikor-uwiaa-aaaaa-cuarg-yaqca-acykb-a,740,3k6q2-jqkor-uwiaa-aaaaa-c4chg-yaqca-aaals-a,740,180866
ucyhd-iakor-uwiaa-aaaaa-cuarg-yaqca-acymi-a,882,3lfau-fqkor-uwiaa-aaaaa-c4chg-yaqca-aaanz-a,882,181008
kxelf-rykor-uwiaa-aaaaa-cuarg-yaqca-acyli-q,819,3mixw-eakor-uwiaa-aaaaa-c4chg-yaqca-aaamz-q,819,180945
jphc2-2ykor-uwiaa-aaaaa-cuarg-yaqca-acyzn-a,1724,3nqrd-zakor-uwiaa-aaaaa-c4chg-yaqca-aaa26-a,1724,181850
jpeub-lykor-uwiaa-aaaaa-cuarg-yaqca-acyjb-q,677,3nthy-iakor-uwiaa-aaaaa-c4chg-yaqca-aaaks-q,677,180803
gmqio-3akor-uwiaa-aaaaa-cuarg-yaqca-acyat-q,137,3oehe-qikor-uwiaa-aaaaa-c4chg-yaqca-aaace-q,137,180263
f2ipv-takor-uwiaa-aaaaa-cuarg-yaqca-acyqx-a,1168,3ohr7-bikor-uwiaa-aaaaa-c4chg-yaqca-aaasi-a,1168,181294
ep6zb-4qkor-uwiaa-aaaaa-cuarg-yaqca-acyss-a,1286,3p4br-nikor-uwiaa-aaaaa-c4chg-yaqca-aaaud-a,1286,181412
ep5p2-nqkor-uwiaa-aaaaa-cuarg-yaqca-acyc6-q,287,3p7xk-4ikor-uwiaa-aaaaa-c4chg-yaqca-aaaep-q,287,180413
cj5h3-oakor-uwiaa-aaaaa-cuarg-yaqca-acyi7-q,673,3qf3q-oikor-uwiaa-aaaaa-c4chg-yaqca-aaakq-q,673,180799
ij4gc-qakor-uwiaa-aaaaa-cuarg-yaqca-acyzl-a,1720,3qgnl-7ikor-uwiaa-aaaaa-c4chg-yaqca-aaa24-a,1720,181846
kksxn-xqkor-uwiaa-aaaaa-cuarg-yaqca-acylk-q,823,3r6l6-cikor-uwiaa-aaaaa-c4chg-yaqca-aaam3-q,823,180949
eslts-lykor-uwiaa-aaaaa-cuarg-yaqca-acyc4-q,283,3sjlc-2akor-uwiaa-aaaaa-c4chg-yaqca-aaaen-q,283,180409
esifj-2ykor-uwiaa-aaaaa-cuarg-yaqca-acysq-a,1282,3sk5z-lakor-uwiaa-aaaaa-c4chg-yaqca-aaaub-a,1282,181408
hki2n-aykor-uwiaa-aaaaa-cuarg-yaqca-acyqz-a,1172,3trnx-hakor-uwiaa-aaaaa-c4chg-yaqca-aaask-a,1172,181298
hklmw-rykor-uwiaa-aaaaa-cuarg-yaqca-acyav-q,141,3ts3m-wakor-uwiaa-aaaaa-c4chg-yaqca-aaacg-q,141,180267
hnfnp-bikor-uwiaa-aaaaa-cuarg-yaqca-acyrz-q,1237,3u42v-gqkor-uwiaa-aaaaa-c4chg-yaqca-aaatk-q,1237,181363
hng3u-qikor-uwiaa-aaaaa-cuarg-yaqca-acybv-a,204,3u7mo-xqkor-uwiaa-aaaaa-c4chg-yaqca-aaadg-a,204,180330
evgeq-kikor-uwiaa-aaaaa-cuarg-yaqca-acyd4-a,346,3ve4a-3qkor-uwiaa-aaaaa-c4chg-yaqca-aaafn-a,346,180472
evfsl-3ikor-uwiaa-aaaaa-cuarg-yaqca-acytq-q,1347,3vhk3-kqkor-uwiaa-aaaaa-c4chg-yaqca-aaavb-q,1347,181473
u7o3l-oikor-uwiaa-aaaaa-cuarg-yaqca-acymk-a,886,3wt44-dykor-uwiaa-aaaaa-c4chg-yaqca-aaan3-a,886,181012
coqqz-pqkor-uwiaa-aaaaa-cuarg-yaqca-acyj7-a,736,3xims-pykor-uwiaa-aaaaa-c4chg-yaqca-aaalq-a,736,180862
umdjh-lakor-uwiaa-aaaaa-cuarg-yaqca-acyoj-a,1012,3yisy-aykor-uwiaa-aaaaa-c4chg-yaqca-aaap2-a,1012,181138
uqnt2-qikor-uwiaa-aaaaa-cuarg-yaqca-acyym-q,1659,3zqun-5ykor-uwiaa-aaaaa-c4chg-yaqca-aaaz5-q,1659,181785
uqofb-bikor-uwiaa-aaaaa-cuarg-yaqca-acyia-a,610,3ztcw-mykor-uwiaa-aaaaa-c4chg-yaqca-aaajr-a,610,180736
fdhsy-5qkor-uwiaa-aaaaa-cuarg-yaqca-acyjp-a,704,427ot-5ykor-uwiaa-aaaaa-c4chg-yaqca-aaala-a,704,180830
d3ggn-aakor-uwiaa-aaaaa-cuarg-yaqca-acyl2-a,854,43e65-rykor-uwiaa-aaaaa-c4chg-yaqca-aaanl-a,854,180980
d4lrp-bqkor-uwiaa-aaaaa-cuarg-yaqca-acyk2-q,791,44jj7-qikor-uwiaa-aaaaa-c4chg-yaqca-aaaml-q,791,180917
b7faa-gakor-uwiaa-aaaaa-cuarg-yaqca-acyy3-a,1688,45rpk-nikor-uwiaa-aaaaa-c4chg-yaqca-aaa2m-a,1688,181814
fekf2-4akor-uwiaa-aaaaa-cuarg-yaqca-acyip-q,641,45szr-4ikor-uwiaa-aaaaa-c4chg-yaqca-aaaka-q,641,180767
